time[s], acc_x[m/s^2], acc_y[m/s^2], acc_z[m/s^2]
12.929, -0.815, 0.372, 0.627
12.958, -1.386, 0.866, 0.988
12.985, -5.446, 1.06, 2.642
13.016, -6.777, 0.836, 2.718
13.047, -6.619, -4.397, -5.411
13.075, 0.358, -3.008, -0.551
13.103, 0.819, 1.434, -2.865
13.134, 0.03, -0.414, -2.263
13.165, 0.764, -1.627, -1.688
13.194, 0.564, -0.476, -0.935
13.222, 2.035, -0.45, 0.659
13.253, 2.793, -0.101, 0.883
13.284, 3.346, -0.446, 1.098
13.314, 3.585, -0.53, 1.074
13.347, 2.867, -0.36, 1.057
13.375, 2.065, -0.931, 0.936
13.403, -0.067, -0.728, 1.259
13.433, -1.003, 0.472, 1.689
13.461, -0.857, 0.63, 1.662
13.489, -3.419, -1.134, 1.985
13.518, -4.607, -0.914, 2.025
13.548, -5.489, 1.686, -2.997
13.577, -3.274, 3.86, -3.348
13.604, 1.756, -2.764, -2.171
13.635, 1.725, -2.869, -3.161
13.663, -1.621, 0.705, -1.934
13.694, -2.391, 0.977, -0.633
13.722, 0.263, -0.244, -0.148
13.753, 2.368, 0.265, 0.972
13.781, 3.93, 1.094, 1.546
13.811, 3.76, 0.56, 1.771
13.843, 4.356, -0.368, 1.636
13.875, 3.276, -0.44, 1.135
13.904, 1.383, -0.762, 1.494
13.935, 1.121, -0.632, 1.091
13.962, 0.115, 2.945, 1.289
13.989, -2.639, 4.014, 1.283
14.02, -5.294, 2.629, 2.399
14.05, -9.098, -1.564, -5.011
14.079, -4.868, -6.486, -3.75
14.106, 0.88, 3.705, -2.795
14.135, -0.414, 1.862, -3.318
14.165, -0.275, -2.244, -2.513
14.194, 1.777, -2.077, -1.517
14.224, 1.623, 0.292, 0.079
14.256, 1.961, -0.624, 0.375
14.284, 2.942, -1.154, 0.928
14.312, 3.417, -0.602, 1.182
14.347, 3.272, -0.454, 1.117
14.376, 2.272, -0.674, 1.164
14.409, 0.856, -0.356, 1.386
14.435, 0.034, -0.008, 1.144
14.462, -0.322, -0.081, 1.26
14.492, -0.45, -1.412, 1.046
14.519, -2.621, -1.534, 1.88
14.548, -5.707, 0.971, 2.717
14.576, -5.358, 0.694, 0.535
14.605, -0.186, 1.092, -2.164
14.634, 0.539, -2.097, -3.219
14.662, 0.057, -0.08, -3.113
14.693, -1.4, 0.855, -2.235
14.72, -2.17, -0.29, -0.944
14.748, -1.013, -0.383, 0.161
14.78, 1.004, 0.512, -0.005
14.811, 4.202, 1.423, 0.917
14.837, 4.307, 0.598, 1.098
14.862, 5.345, 0.156, 1.437
14.893, 4.588, 0.484, 1.402
14.925, 2.391, -0.169, 1.207
14.956, 1.488, -0.494, 1.034
14.988, -0.4, 1.027, 1.253
15.023, -5.987, 2.0, 2.056
15.057, -6.75, 0.907, 2.782
15.088, -7.596, -1.533, -4.331
15.12, -3.707, -5.059, -4.654
15.151, 2.223, 2.557, -0.592
15.184, -0.684, 0.655, -2.903
15.217, -0.109, -1.508, -2.667
15.251, 0.649, -0.336, -1.115
15.283, 1.67, -0.476, 0.497
15.317, 1.835, -0.729, 0.415
15.351, 3.369, -0.919, 0.771
15.385, 3.543, -0.17, 1.109
15.418, 2.909, -0.469, 1.186
15.452, 1.034, -0.536, 1.091
15.484, 0.162, 0.162, 1.187
15.519, 1.107, 0.9, 0.827
15.552, -0.834, -1.884, 1.213
15.585, -7.269, 0.787, 2.425
15.623, -3.954, 4.308, -3.162
15.658, -0.538, -1.606, -1.845
15.684, 1.237, -2.303, -2.162
15.714, 2.353, -2.236, -2.86
15.742, -1.081, 1.642, -1.688
15.769, -1.625, 0.213, -1.124
15.798, -1.483, -1.071, -0.627
15.827, 0.808, 0.433, 0.589
15.856, 2.164, 0.716, 1.072
15.886, 4.652, 0.844, 1.489
15.916, 4.187, 0.137, 1.572
15.945, 4.103, 0.36, 1.612
15.973, 3.381, 0.297, 1.404
16.002, 1.514, -0.712, 1.108
16.029, 0.545, -0.1, 0.921
16.056, -0.547, 1.272, 1.112
16.086, -4.912, 1.983, 2.18
16.114, -5.691, 0.806, 1.976
16.142, -5.986, 0.7, 1.311
16.172, -7.093, -2.654, -7.513
16.202, 1.522, 1.446, -2.056
16.23, 0.103, 2.09, -2.286
16.258, -1.199, 1.4, -2.661
16.289, 0.299, -0.987, -2.326
16.32, -0.172, -0.226, -1.621
16.349, 1.567, -0.726, 0.115
16.38, 2.323, -0.367, 0.195
16.409, 3.227, -0.578, 0.715
16.44, 3.409, -0.687, 0.765
16.469, 3.546, 0.292, 1.506
16.496, 3.157, 0.264, 0.439
16.525, 0.113, -2.57, 0.693
16.556, -0.438, 0.605, 2.416
16.583, 1.408, 0.907, 3.027
16.61, -1.64, -1.038, 2.54
16.642, -7.926, -1.421, 2.07
16.669, -5.84, 1.271, -0.583
16.696, -3.054, 6.368, -3.304
16.723, -0.529, -4.292, -3.413
16.752, -0.313, -3.948, -3.839
16.78, 1.258, -2.266, -4.499
16.808, -0.808, 1.254, -2.031
16.842, -2.034, -0.646, -0.252
16.874, -0.378, 0.065, 0.049
